iter	Passed	Remaining
0	4	438
1	8	409
2	12	390
3	15	362
4	19	365
5	23	366
6	26	357
7	30	351
8	34	353
9	38	346
10	42	341
11	45	336
12	49	333
13	53	327
14	56	320
15	61	321
16	65	318
17	68	314
18	72	308
19	76	306
20	80	302
21	84	299
22	88	296
23	92	292
24	96	288
25	99	283
26	103	279
27	106	274
28	110	270
29	114	266
30	118	262
31	122	259
32	126	256
33	130	252
34	134	249
35	137	245
36	141	241
37	145	236
38	148	232
39	152	228
40	155	224
41	157	217
42	160	213
43	164	209
44	167	204
45	171	201
46	175	197
47	179	194
48	182	190
49	187	187
50	190	183
51	194	179
52	197	174
53	200	170
54	202	166
55	206	162
56	210	158
57	213	154
58	217	151
59	220	147
60	224	143
61	228	140
62	232	136
63	235	132
64	238	128
65	242	125
66	246	121
67	250	117
68	253	114
69	257	110
70	261	106
71	265	103
72	268	99
73	272	95
74	276	92
75	280	88
76	283	84
77	287	81
78	290	77
79	294	73
80	298	69
81	301	66
82	305	62
83	309	58
84	312	55
85	316	51
86	320	47
87	323	44
88	327	40
89	331	36
90	334	33
91	338	29
92	342	25
93	346	22
94	350	18
95	354	14
96	357	11
97	361	7
98	365	3
99	369	0
